Tempo_s,ECG_Bruto,ECG_Filtrado
0.0,-0.05,-0.007802291792606586
0.002,-0.05,-0.008323337085244848
0.004,-0.05,-0.008805150881387664
0.006,-0.05,-0.009113235764012425
0.008,-0.05,-0.00913945901831403
0.01,-0.05,-0.008829011691523276
0.012,-0.05,-0.008191805745631102
0.014,-0.051,-0.00729405416746418
0.016,-0.048,-0.006232610553394097
0.018,-0.045,-0.0051009691638330135
0.02,-0.045,-0.003959409396474096
0.022,-0.045,-0.002820655734638271
0.024,-0.042,-0.001656265936448218
0.026,-0.039,-0.0004203081872874877
0.028,-0.04,0.000920080933594442
0.03,-0.04,0.0023601621134350954
0.032,-0.036,0.003849605732551637
0.034,-0.034,0.005305155929578945
0.036,-0.036,0.0066395778319622975
0.038,-0.034,0.007795565022435317
0.04,-0.03,0.008771139624150178
0.042,-0.03,0.009626306503288133
0.044,-0.031,0.010467660892235425
0.046,-0.028,0.011416023325512635
0.048,-0.025,0.012569045417996734
0.05,-0.025,0.013972946018035988
0.052,-0.025,0.015614172815543587
0.054,-0.025,0.017434954000137035
0.056,-0.023,0.019369202815229268
0.058,-0.019,0.02138861841724905
0.06,-0.015,0.02354409516037485
0.062,-0.011,0.025986291914443883
0.064,-0.007,0.028953000603664743
0.066,-0.002,0.03271977745312004
0.068,0.0,0.037521931999452064
0.07,0.0,0.04346686619713628
0.072,0.008,0.05046219030611023
0.074,0.016,0.05818383778680972
0.076,0.024,0.06609855612257677
0.078,0.032,0.07353976390195166
0.08,0.04,0.07982097196330068
0.082,0.048,0.08436185486112921
0.084,0.054,0.08680012631766797
0.086,0.054,0.08706664110656502
0.088,0.049,0.08541003669878937
0.09,0.045,0.08236855450821834
0.092,0.041,0.07869695683496333
0.094,0.037,0.0752621935590058
0.096,0.034,0.07292208210147248
0.098,0.028,0.07239983961512876
0.1,0.025,0.07416741310574497
0.102,0.05,0.07835220316609615
0.104,0.054,0.08468199887807402
0.106,0.036,0.09248104619217418
0.108,0.049,0.10072827042787381
0.11,0.095,0.10818356281494565
0.112,0.09,0.11357132629802728
0.114,0.078,0.11578530474064963
0.116,0.071,0.11406506620204195
0.118,0.063,0.10810600104672419
0.12,0.055,0.09809080381420553
0.122,0.047,0.0846508658380154
0.124,0.041,0.06877253618732987
0.126,0.024,0.051661513878840264
0.128,0.0,0.034578288496886045
0.13,-0.02,0.01866397113279876
0.132,-0.045,0.004786542509603107
0.134,-0.055,-0.006556764749252603
0.136,-0.055,-0.015253786931586515
0.138,-0.055,-0.02150555783278037
0.14,-0.055,-0.025695958766748746
0.142,-0.054,-0.02825181039701146
0.144,-0.065,-0.02954204668641846
0.146,-0.07,-0.029842657779320172
0.148,-0.064,-0.029362443283806595
0.15,-0.065,-0.02829995292474422
