Tempo_s,ECG_Bruto,ECG_Filtrado
0.0,-0.575,-0.07814362885263056
0.002,-0.575,-0.07804346546217031
0.004,-0.575,-0.078080883100765
0.006,-0.575,-0.078375628353695
0.008,-0.575,-0.07903042293677652
0.01,-0.575,-0.08012257332584566
0.012,-0.575,-0.08169427472105863
0.014,-0.575,-0.0837421826761878
0.016,-0.574,-0.08620883048824741
0.018,-0.576,-0.08898049100170095
0.02,-0.585,-0.09189617182667605
0.022,-0.59,-0.0947690309945621
0.024,-0.59,-0.09741577954607976
0.026,-0.59,-0.09968565947633766
0.028,-0.59,-0.10148150690803216
0.03,-0.59,-0.10276997050520804
0.032,-0.59,-0.10358207442908687
0.034,-0.59,-0.1040064750960266
0.036,-0.59,-0.1041766521247988
0.038,-0.59,-0.10425206006586846
0.04,-0.59,-0.10439350408592783
0.042,-0.59,-0.10473486344282942
0.044,-0.59,-0.10535580722273716
0.046,-0.59,-0.10626190699596913
0.048,-0.59,-0.1073784196303971
0.05,-0.59,-0.10856166861111233
0.052,-0.59,-0.10962799575697134
0.054,-0.59,-0.1103959166295809
0.056,-0.59,-0.11073370582822076
0.058,-0.59,-0.11060302900733988
0.06,-0.59,-0.11008956762952911
0.062,-0.59,-0.10941335993443407
0.064,-0.59,-0.10891409391869337
0.066,-0.59,-0.1090094019928219
0.068,-0.59,-0.11012748132532113
0.07,-0.59,-0.11261974174700616
0.072,-0.59,-0.11666520665301162
0.074,-0.591,-0.12218562619394355
0.076,-0.588,-0.128796481339922
0.078,-0.594,-0.13581984098204303
0.08,-0.62,-0.14237470491241877
0.082,-0.639,-0.14753651926637
0.084,-0.636,-0.15052753548718387
0.086,-0.625,-0.1508812446396913
0.088,-0.618,-0.14853147661921556
0.09,-0.61,-0.14380610028936913
0.092,-0.602,-0.13733802425168737
0.094,-0.594,-0.12992637442068583
0.096,-0.586,-0.12238519974269957
0.098,-0.579,-0.11541138499030242
0.1,-0.575,-0.10949360340749618
0.102,-0.571,-0.10487315909095242
0.104,-0.57,-0.10155653688130122
0.106,-0.569,-0.09936937850275575
0.108,-0.564,-0.09803417579477397
0.11,-0.56,-0.09725118623146702
0.112,-0.56,-0.09676462940727551
0.114,-0.557,-0.09640262958167663
0.116,-0.554,-0.09608713478734165
0.118,-0.555,-0.09581741122829264
0.12,-0.555,-0.09563653948604492
0.122,-0.555,-0.09559332862395217
0.124,-0.555,-0.09571143905991258
0.126,-0.555,-0.09597377277132264
0.128,-0.555,-0.09632461578836685
0.13,-0.555,-0.09668611016645623
0.132,-0.551,-0.09698126324266906
0.134,-0.55,-0.09715463694123293
0.136,-0.55,-0.09718440630490686
0.138,-0.55,-0.09708391963984739
0.14,-0.55,-0.09689484730660369
0.142,-0.55,-0.09667613877444346
0.144,-0.55,-0.09649315637170248
0.146,-0.55,-0.09640974523020844
0.148,-0.549,-0.09648321482834056
0.15,-0.545,-0.09675957467923214
0.152,-0.545,-0.09726545130522166
0.154,-0.545,-0.09799449983715816
0.156,-0.545,-0.09888907124227557
0.158,-0.545,-0.09982134567054175
0.16,-0.545,-0.10058134488658023
0.162,-0.545,-0.10088107538809776
0.164,-0.545,-0.1003826884723653
0.166,-0.546,-0.09875263458069156
0.168,-0.544,-0.09573424272855813
0.17,-0.535,-0.09122169011529355
0.172,-0.527,-0.08531383570984294
0.174,-0.519,-0.07832963039406945
0.176,-0.511,-0.07077637448358878
0.178,-0.503,-0.0632740389985451
0.18,-0.495,-0.05644988386967214
0.182,-0.487,-0.050825855449261756
0.184,-0.481,-0.04672510250779284
0.186,-0.48,-0.04422141548548652
0.188,-0.48,-0.043145372302532625
0.19,-0.48,-0.04314528209149603
0.192,-0.48,-0.04378488551853342
0.194,-0.48,-0.044649466578911466
0.196,-0.48,-0.04543127459427418
0.198,-0.48,-0.045973468014683605
0.2,-0.48,-0.04626561477378772
0.202,-0.476,-0.04639856561342148
0.204,-0.475,-0.046498075637032406
0.206,-0.475,-0.04666155361938586
0.208,-0.475,-0.04691894258723939
0.21,-0.475,-0.04722801618396187
0.212,-0.475,-0.04750066750771929
0.214,-0.475,-0.047645750482297404
0.216,-0.475,-0.04760974454042826
0.218,-0.474,-0.04739988428023186
0.22,-0.47,-0.04708354401663915
0.222,-0.47,-0.04676869593741618
0.224,-0.47,-0.04657827798465354
0.226,-0.47,-0.04663240555013811
0.228,-0.47,-0.04704609485885112
0.23,-0.47,-0.047940167111846156
0.232,-0.47,-0.04945468266014015
0.234,-0.471,-0.05175173999266531
0.236,-0.468,-0.05499893830078813
0.238,-0.473,-0.05933405521465759
0.24,-0.49,-0.06482060276005908
0.242,-0.491,-0.07140817396447804
0.244,-0.487,-0.07891042684503273
0.246,-0.499,-0.08701019141308321
0.248,-0.518,-0.09529601739841577
0.25,-0.52,-0.10332501606933324
0.252,-0.519,-0.11069545605637592
0.254,-0.526,-0.11710780860289002
0.256,-0.533,-0.12239914950391285
0.258,-0.536,-0.12654758566048807
0.26,-0.54,-0.1296529989899476
0.262,-0.54,-0.13190519468245576
0.264,-0.543,-0.13355094247513855
0.266,-0.545,-0.13486738958968206
0.268,-0.546,-0.13614134520092794
0.27,-0.55,-0.1376451753685682
0.272,-0.551,-0.13959611968932573
0.274,-0.544,-0.14209210639685163
0.276,-0.523,-0.14503490828769472
0.278,-0.528,-0.14807354449003937
0.28,-0.57,-0.1506108268609384
0.282,-0.565,-0.1518997363635325
0.284,-0.552,-0.15121959977427435
0.286,-0.548,-0.14808925431104183
0.288,-0.543,-0.14246320978901353
0.29,-0.535,-0.13486213146587891
0.292,-0.527,-0.12639728128327407
0.294,-0.522,-0.11865686059457459
0.296,-0.518,-0.11343664318217131
0.298,-0.515,-0.11232260745475471
0.3,-0.515,-0.11616861025214469
0.302,-0.515,-0.12455182059764999
0.304,-0.512,-0.1353231436993465
0.306,-0.508,-0.14438724940136652
0.308,-0.512,-0.14583517188263917
0.31,-0.51,-0.1325042579925096
0.312,-0.462,-0.09695863381461982
0.314,-0.422,-0.032784688829117406
0.316,-0.351,0.06399677467656328
0.318,-0.235,0.19366609782243757
0.32,-0.09,0.3519723780291381
0.322,0.123,0.5299741843795674
0.324,0.31,0.7146845151844822
0.326,0.486,0.8904970741824942
0.328,0.651,1.0412123960498727
0.33,0.785,1.1523516584071332
0.332,0.944,1.2133565683699623
0.334,0.978,1.2192386345732251
0.336,0.833,1.171296793359639
0.338,0.63,1.076708511174808
0.34,0.49,0.9470933659320999
0.342,0.372,0.7964323081194867
0.344,0.232,0.6388618727260243
0.346,0.08,0.4868059489318923
0.348,-0.038,0.3497287534514363
0.35,-0.11,0.233593026056085
0.352,-0.199,0.14094744708649154
0.354,-0.302,0.07146784466222436
0.356,-0.343,0.022744054649559406
0.358,-0.354,-0.008872431342920355
0.36,-0.405,-0.027495369016650884
0.362,-0.412,-0.037090499081885754
0.364,-0.409,-0.041063170201250304
0.366,-0.41,-0.04204945834884648
0.368,-0.41,-0.04188471043000443
0.37,-0.41,-0.04170550822925602
0.372,-0.41,-0.042130183083398554
0.374,-0.413,-0.043458601041666316
0.376,-0.416,-0.04583747517887796
0.378,-0.415,-0.04935490025997251
0.38,-0.415,-0.0540546906131782
0.382,-0.416,-0.05989085233734395
0.384,-0.411,-0.06666549046084351
0.386,-0.428,-0.07399960508819221
0.388,-0.454,-0.08136991209760178
0.39,-0.455,-0.08821063492800658
0.392,-0.455,-0.0940442719739678
0.394,-0.455,-0.09859014377406887
0.396,-0.455,-0.10181151170431033
0.398,-0.455,-0.1038904328195009
0.4,-0.455,-0.10514704728459072
0.402,-0.459,-0.10593574173745347
0.404,-0.46,-0.10655214589374905
0.406,-0.46,-0.10717512640432496
0.408,-0.46,-0.10785254951892925
0.41,-0.46,-0.10852465293368803
0.412,-0.46,-0.10906864562455293
0.414,-0.457,-0.10934469588538145
0.416,-0.455,-0.10922716455708019
0.418,-0.454,-0.10861424873851384
0.42,-0.45,-0.10742034771338656
0.422,-0.45,-0.10556372071836304
0.424,-0.447,-0.10296385900296885
0.426,-0.445,-0.09955755736549787
0.428,-0.444,-0.09533205834317444
0.43,-0.435,-0.0903624878570585
0.432,-0.427,-0.08483462667770417
0.434,-0.419,-0.07903653222475529
0.436,-0.411,-0.07331312926079411
0.438,-0.403,-0.06799234358539959
0.44,-0.395,-0.0633043221553893
0.442,-0.385,-0.059322181620284534
0.444,-0.395,-0.05594971503702449
0.446,-0.398,-0.052966681643473276
0.448,-0.388,-0.05011959664968304
0.45,-0.385,-0.047226051361078575
0.452,-0.382,-0.04425406699483293
0.454,-0.374,-0.041346754390943985
0.456,-0.368,-0.03878087643897669
0.458,-0.364,-0.03686912092525045
0.46,-0.36,-0.03583480350606611
0.462,-0.356,-0.03569946292422168
0.464,-0.352,-0.03622420827129827
0.466,-0.365,-0.03693238364399596
0.468,-0.381,-0.037214945248032025
0.47,-0.37,-0.03648828591789754
0.472,-0.362,-0.03435196309725948
0.474,-0.354,-0.030694196687051516
0.476,-0.346,-0.025715442680667302
0.478,-0.338,-0.019870721236469994
0.48,-0.33,-0.013755255351474946
0.482,-0.326,-0.00796937374081599
0.484,-0.322,-0.0029981193835843835
0.486,-0.318,0.0008684403957249788
0.488,-0.315,0.0035625177113998915
0.49,-0.315,0.005216564430211574
0.492,-0.311,0.006106476145644086
0.494,-0.31,0.006580725271444917
0.496,-0.309,0.006995763813441326
0.498,-0.304,0.007671812069417214
0.5,-0.3,0.008873319492866075
0.502,-0.3,0.01080854993907123
0.504,-0.297,0.01363697906100898
0.506,-0.296,0.0174740607830496
0.508,-0.293,0.02238928524265437
0.51,-0.28,0.0284007631170576
0.512,-0.272,0.03547301595061442
0.514,-0.261,0.04352261677950151
0.516,-0.251,0.052431297747025124
0.518,-0.242,0.06206207619217364
0.52,-0.23,0.07227290988847752
0.522,-0.222,0.0829239752343381
0.524,-0.211,0.09387760889718405
0.526,-0.199,0.10499315329193397
0.528,-0.187,0.11612138455123154
0.53,-0.175,0.1271040870674861
0.532,-0.163,0.13778350519763852
0.534,-0.151,0.14802406728928483
0.536,-0.139,0.15774497812398866
0.538,-0.127,0.16695713477884963
0.54,-0.115,0.17579243907358155
0.542,-0.107,0.184510408892396
0.544,-0.099,0.19346899910797477
0.546,-0.091,0.20305533555371516
0.548,-0.083,0.21358619585539046
0.55,-0.075,0.2252030935158622
0.552,-0.069,0.2377968148827071
0.554,-0.046,0.2509952111701253
0.556,-0.016,0.2642317299714029
0.558,0.003,0.2768826679691748
0.56,0.01,0.288430771194793
0.562,0.014,0.2985990131481908
0.564,0.021,0.3074099226131331
0.566,0.027,0.31515523745119384
0.568,0.032,0.32229181736973506
0.57,0.04,0.32930068743786267
0.572,0.043,0.33655325913571604
0.574,0.06,0.34422314630739104
0.576,0.075,0.3522655583266209
0.578,0.083,0.36046294073913615
0.58,0.1,0.36851287386074727
0.582,0.105,0.3761211467858495
0.584,0.106,0.3830649061059295
0.586,0.102,0.3892071371013203
0.588,0.111,0.39446725024101525
0.59,0.13,0.3987716406641743
0.592,0.106,0.4020137006367348
0.594,0.131,0.4040445942593173
0.596,0.153,0.4046995682635647
0.598,0.136,0.40384545813413325
0.6,0.13,0.4014218694959785
0.602,0.126,0.3974511881425944
0.604,0.12,0.3920105863090362
0.606,0.11,0.3851793600377361
0.608,0.104,0.37698548330984843
0.61,0.1,0.36737449963257907
0.612,0.088,0.35621547507563217
0.614,0.076,0.3433468429638178
0.616,0.063,0.32865323796418483
0.618,0.053,0.31215476558988137
0.62,0.045,0.2940828544188875
0.622,0.018,0.2749139158771659
0.624,-0.01,0.2553385496808007
0.626,-0.028,0.23616258995637252
0.628,-0.045,0.21816078725084181
0.63,-0.065,0.20192256372115425
0.632,-0.082,0.18773424208319256
0.634,-0.087,0.17553308203110946
0.636,-0.082,0.16494809495798576
0.638,-0.089,0.15541548976707262
0.64,-0.11,0.14633244249551414
0.642,-0.114,0.13720351167811629
0.644,-0.123,0.12774287302718626
0.646,-0.137,0.1179143690209859
0.648,-0.147,0.10790962568464624
0.65,-0.155,0.09807743423164532
0.652,-0.16,0.08882443266045849
0.654,-0.16,0.08050798785117169
0.656,-0.177,0.07333967873698108
0.658,-0.197,0.06731673373927843
0.66,-0.19,0.062200256700691944
0.662,-0.19,0.05755630540526144
0.664,-0.19,0.05286100520543203
0.666,-0.191,0.0476464037247211
0.668,-0.188,0.04164266178901036
0.67,-0.19,0.034866739661349615
0.672,-0.223,0.027622683027954346
0.674,-0.237,0.020410860486963122
0.676,-0.234,0.01378060113942133
0.678,-0.235,0.00818279433885121
0.68,-0.235,0.0038729614671986928
0.682,-0.235,0.0008872696363239791
0.684,-0.235,-0.0009171239775699488
0.686,-0.235,-0.0017854310873061394
0.688,-0.235,-0.00198474666434578
0.69,-0.235,-0.0017452648994327933
0.692,-0.235,-0.00123593906855425
0.694,-0.235,-0.0005736228932137219
0.696,-0.235,0.0001460314239543736
0.698,-0.234,0.0008131004741046099
0.7,-0.23,0.0012798916741174186
0.702,-0.23,0.001360174663309819
0.704,-0.23,0.0008535380087651838
0.706,-0.23,-0.0004104818284039359
0.708,-0.23,-0.0025191764099121495
0.71,-0.23,-0.005428130499473262
0.712,-0.231,-0.008932741727215587
0.714,-0.223,-0.012674535208806414
0.716,-0.239,-0.016191633751437187
0.718,-0.262,-0.019009831810839758
0.72,-0.25,-0.02075227273554749
0.722,-0.245,-0.021232341417253785
0.724,-0.242,-0.020497986895431006
0.726,-0.238,-0.01881574496468115
0.728,-0.234,-0.016605633818519486
0.73,-0.23,-0.014351534523453863
0.732,-0.225,-0.012513549710088426
0.734,-0.228,-0.011462894505589944
0.736,-0.23,-0.011449583645129636
0.738,-0.231,-0.01260135102714881
0.74,-0.235,-0.014942578001460169
0.742,-0.235,-0.018418174089448618
0.744,-0.238,-0.02291047317488774
0.746,-0.24,-0.028245110339431258
0.748,-0.241,-0.034190545749847194
0.75,-0.25,-0.04046144604607831
0.752,-0.253,-0.046735919472699554
0.754,-0.264,-0.052690418542435905
0.756,-0.273,-0.05804659000894848
0.758,-0.275,-0.06261615689358054
0.76,-0.275,-0.06632788030616509
0.762,-0.275,-0.06922683428055156
0.764,-0.274,-0.071447646988803
0.766,-0.277,-0.0731733129736888
